Cat: native-country, Precision: 1.0, recall: 0.6666666666666666, fbeta: 0.8
Cat: native-country, Precision: 1.0, recall: 0.9230769230769231, fbeta: 0.9600000000000001
Cat: native-country, Precision: 0.75, recall: 1.0, fbeta: 0.8571428571428571
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 0.5, fbeta: 0.6666666666666666
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 0.6, fbeta: 0.7499999999999999
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 0.6, recall: 1.0, fbeta: 0.7499999999999999
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 0.8333333333333334, recall: 0.8333333333333334, fbeta: 0.8333333333333334
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
Cat: native-country, Precision: 1.0, recall: 1.0, fbeta: 1.0
